Ricoh RDC-200G,2000,1792.0,1280.0,2.0,38.0,114.0,4.0,4.0,8.0,500.0,144.0,399.0,
Ricoh RDC-6000,2000,1600.0,800.0,1.0,40.0,40.0,30.0,13.0,8.0,300.0,110.0,149.0,
Ricoh RDC-7,2000,2048.0,1024.0,3.0,35.0,105.0,24.0,1.0,8.0,320.0,135.0,1699.0,
Ricoh RDC-i700,2000,2048.0,1024.0,3.0,35.0,105.0,24.0,1.0,8.0,450.0,157.0,149.0,
Sony Mavica CD1000,2000,1600.0,1600.0,1.0,37.0,370.0,80.0,3.0,8.0,980.0,125.0,1399.0,
Sony DSC-F505V,2000,1856.0,1600.0,2.0,38.0,190.0,50.0,2.0,8.0,482.0,107.0,149.0,
Sony DSC-F55V,2000,1856.0,1600.0,2.0,37.0,37.0,25.0,10.0,8.0,280.0,103.0,429.0,
Sony DSC-P1,2000,2048.0,1600.0,3.0,39.0,117.0,50.0,10.0,8.0,250.0,114.0,429.0,
Sony DSC-S30,2000,1280.0,640.0,1.0,39.0,117.0,25.0,3.0,4.0,370.0,113.0,149.0,
Sony DSC-S50,2000,1600.0,1280.0,1.0,39.0,117.0,25.0,3.0,4.0,370.0,113.0,149.0,
Sony DSC-S70,2000,2048.0,1600.0,3.0,34.0,102.0,25.0,4.0,8.0,420.0,117.0,149.0,
Sony Mavica FD-85,2000,1280.0,1280.0,1.0,37.0,111.0,1.0,1.0,1.0,0.0,0.0,1399.0,
Sony Mavica FD-90,2000,1280.0,1280.0,1.0,34.0,270.0,4.0,4.0,1.0,0.0,0.0,1399.0,
Sony Mavica FD-95,2000,1600.0,1600.0,1.0,37.0,370.0,80.0,3.0,1.0,900.0,0.0,1399.0,
Toshiba PDR-M60,2000,1792.0,896.0,2.0,38.0,86.0,50.0,5.0,4.0,320.0,121.0,449.0,
Toshiba PDR-M70,2000,2048.0,1024.0,3.0,35.0,105.0,80.0,9.0,16.0,390.0,116.0,62.0,
